,country_id,country_value,indicator_name,year,value,region,incomeLevel,longitude,latitude
0,ZH,Africa Eastern and Southern,"Life expectancy at birth, total (years)",2025,,Aggregates,Aggregates,,
1,ZH,Africa Eastern and Southern,"Life expectancy at birth, total (years)",2024,65.3499304660954,Aggregates,Aggregates,,
2,ZH,Africa Eastern and Southern,"Life expectancy at birth, total (years)",2023,65.1462279163724,Aggregates,Aggregates,,
3,ZH,Africa Eastern and Southern,"Life expectancy at birth, total (years)",2022,64.4871517904367,Aggregates,Aggregates,,
4,ZH,Africa Eastern and Southern,"Life expectancy at birth, total (years)",2021,62.9799991857494,Aggregates,Aggregates,,
5,ZH,Africa Eastern and Southern,"Life expectancy at birth, total (years)",2020,63.7664840026943,Aggregates,Aggregates,,
6,ZH,Africa Eastern and Southern,"Life expectancy at birth, total (years)",2019,63.8572612837043,Aggregates,Aggregates,,
7,ZH,Africa Eastern and Southern,"Life expectancy at birth, total (years)",2018,63.3306913582336,Aggregates,Aggregates,,
8,ZH,Africa Eastern and Southern,"Life expectancy at birth, total (years)",2017,62.5912750961501,Aggregates,Aggregates,,
9,ZH,Africa Eastern and Southern,"Life expectancy at birth, total (years)",2016,62.1679813169199,Aggregates,Aggregates,,
10,ZI,Africa Western and Central,"Life expectancy at birth, total (years)",2025,,Aggregates,Aggregates,,
11,ZI,Africa Western and Central,"Life expectancy at birth, total (years)",2024,59.041538008007,Aggregates,Aggregates,,
12,ZI,Africa Western and Central,"Life expectancy at birth, total (years)",2023,58.8474833840405,Aggregates,Aggregates,,
13,ZI,Africa Western and Central,"Life expectancy at birth, total (years)",2022,57.9789954665232,Aggregates,Aggregates,,
14,ZI,Africa Western and Central,"Life expectancy at birth, total (years)",2021,57.3550150454372,Aggregates,Aggregates,,
15,ZI,Africa Western and Central,"Life expectancy at birth, total (years)",2020,57.3577091392887,Aggregates,Aggregates,,
16,ZI,Africa Western and Central,"Life expectancy at birth, total (years)",2019,57.1428268060515,Aggregates,Aggregates,,
17,ZI,Africa Western and Central,"Life expectancy at birth, total (years)",2018,57.0307711269764,Aggregates,Aggregates,,
18,ZI,Africa Western and Central,"Life expectancy at birth, total (years)",2017,56.6207642286762,Aggregates,Aggregates,,
19,ZI,Africa Western and Central,"Life expectancy at birth, total (years)",2016,56.3875627997136,Aggregates,Aggregates,,
20,1A,Arab World,"Life expectancy at birth, total (years)",2025,,Aggregates,Aggregates,,
21,1A,Arab World,"Life expectancy at birth, total (years)",2024,72.721805028968,Aggregates,Aggregates,,
22,1A,Arab World,"Life expectancy at birth, total (years)",2023,72.4446783578531,Aggregates,Aggregates,,
23,1A,Arab World,"Life expectancy at birth, total (years)",2022,71.8760955992222,Aggregates,Aggregates,,
24,1A,Arab World,"Life expectancy at birth, total (years)",2021,70.4041144889903,Aggregates,Aggregates,,
25,1A,Arab World,"Life expectancy at birth, total (years)",2020,70.7265588103862,Aggregates,Aggregates,,
26,1A,Arab World,"Life expectancy at birth, total (years)",2019,71.8398932674972,Aggregates,Aggregates,,
27,1A,Arab World,"Life expectancy at birth, total (years)",2018,71.4312997859137,Aggregates,Aggregates,,
28,1A,Arab World,"Life expectancy at birth, total (years)",2017,71.1128560080647,Aggregates,Aggregates,,
29,1A,Arab World,"Life expectancy at birth, total (years)",2016,70.8964881164428,Aggregates,Aggregates,,
30,S3,Caribbean small states,"Life expectancy at birth, total (years)",2025,,Aggregates,Aggregates,,
31,S3,Caribbean small states,"Life expectancy at birth, total (years)",2024,73.3126671321816,Aggregates,Aggregates,,
32,S3,Caribbean small states,"Life expectancy at birth, total (years)",2023,73.1716450013098,Aggregates,Aggregates,,
33,S3,Caribbean small states,"Life expectancy at birth, total (years)",2022,72.8322921090607,Aggregates,Aggregates,,
34,S3,Caribbean small states,"Life expectancy at birth, total (years)",2021,69.9228107471769,Aggregates,Aggregates,,
35,S3,Caribbean small states,"Life expectancy at birth, total (years)",2020,71.9394359303317,Aggregates,Aggregates,,
36,S3,Caribbean small states,"Life expectancy at birth, total (years)",2019,72.1292604830284,Aggregates,Aggregates,,
37,S3,Caribbean small states,"Life expectancy at birth, total (years)",2018,72.2210854022703,Aggregates,Aggregates,,
38,S3,Caribbean small states,"Life expectancy at birth, total (years)",2017,72.1731041595093,Aggregates,Aggregates,,
39,S3,Caribbean small states,"Life expectancy at birth, total (years)",2016,72.0516361154512,Aggregates,Aggregates,,
40,B8,Central Europe and the Baltics,"Life expectancy at birth, total (years)",2025,,Aggregates,Aggregates,,
41,B8,Central Europe and the Baltics,"Life expectancy at birth, total (years)",2024,77.918095146168,Aggregates,Aggregates,,
42,B8,Central Europe and the Baltics,"Life expectancy at birth, total (years)",2023,77.7580384683685,Aggregates,Aggregates,,
43,B8,Central Europe and the Baltics,"Life expectancy at birth, total (years)",2022,76.6522987292583,Aggregates,Aggregates,,
44,B8,Central Europe and the Baltics,"Life expectancy at birth, total (years)",2021,74.7232827859077,Aggregates,Aggregates,,
45,B8,Central Europe and the Baltics,"Life expectancy at birth, total (years)",2020,76.0162701269145,Aggregates,Aggregates,,
46,B8,Central Europe and the Baltics,"Life expectancy at birth, total (years)",2019,77.2659141936307,Aggregates,Aggregates,,
47,B8,Central Europe and the Baltics,"Life expectancy at birth, total (years)",2018,76.9764380835075,Aggregates,Aggregates,,
48,B8,Central Europe and the Baltics,"Life expectancy at birth, total (years)",2017,76.929788715597,Aggregates,Aggregates,,
49,B8,Central Europe and the Baltics,"Life expectancy at birth, total (years)",2016,76.9703062304413,Aggregates,Aggregates,,
50,V2,Early-demographic dividend,"Life expectancy at birth, total (years)",2025,,Aggregates,Aggregates,,
51,V2,Early-demographic dividend,"Life expectancy at birth, total (years)",2024,72.0081190674171,Aggregates,Aggregates,,
52,V2,Early-demographic dividend,"Life expectancy at birth, total (years)",2023,71.7962449795855,Aggregates,Aggregates,,
53,V2,Early-demographic dividend,"Life expectancy at birth, total (years)",2022,71.4304552508694,Aggregates,Aggregates,,
54,V2,Early-demographic dividend,"Life expectancy at birth, total (years)",2021,68.1790994839634,Aggregates,Aggregates,,
55,V2,Early-demographic dividend,"Life expectancy at birth, total (years)",2020,69.8801308490982,Aggregates,Aggregates,,
56,V2,Early-demographic dividend,"Life expectancy at birth, total (years)",2019,70.8424064605001,Aggregates,Aggregates,,
57,V2,Early-demographic dividend,"Life expectancy at birth, total (years)",2018,70.5486659921504,Aggregates,Aggregates,,
58,V2,Early-demographic dividend,"Life expectancy at birth, total (years)",2017,70.2729949393554,Aggregates,Aggregates,,
59,V2,Early-demographic dividend,"Life expectancy at birth, total (years)",2016,69.9484837084835,Aggregates,Aggregates,,
