,country_id,country_value,indicator_name,year,value,region,incomeLevel,longitude,latitude
0,ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2025,30.4,Aggregates,Aggregates,,
1,ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2024,28.8,Aggregates,Aggregates,,
2,ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2023,27.8,Aggregates,Aggregates,,
3,ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2022,26.8,Aggregates,Aggregates,,
4,ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2021,25.0,Aggregates,Aggregates,,
5,ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2020,23.5,Aggregates,Aggregates,,
6,ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2019,21.6,Aggregates,Aggregates,,
7,ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2018,19.6,Aggregates,Aggregates,,
8,ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2017,17.3,Aggregates,Aggregates,,
9,ZH,Africa Eastern and Southern,Individuals using the Internet (% of population),2016,16.3,Aggregates,Aggregates,,
10,ZI,Africa Western and Central,Individuals using the Internet (% of population),2025,42.4,Aggregates,Aggregates,,
11,ZI,Africa Western and Central,Individuals using the Internet (% of population),2024,40.0,Aggregates,Aggregates,,
12,ZI,Africa Western and Central,Individuals using the Internet (% of population),2023,38.5,Aggregates,Aggregates,,
13,ZI,Africa Western and Central,Individuals using the Internet (% of population),2022,37.5,Aggregates,Aggregates,,
14,ZI,Africa Western and Central,Individuals using the Internet (% of population),2021,34.7,Aggregates,Aggregates,,
15,ZI,Africa Western and Central,Individuals using the Internet (% of population),2020,31.5,Aggregates,Aggregates,,
16,ZI,Africa Western and Central,Individuals using the Internet (% of population),2019,28.5,Aggregates,Aggregates,,
17,ZI,Africa Western and Central,Individuals using the Internet (% of population),2018,25.7,Aggregates,Aggregates,,
18,ZI,Africa Western and Central,Individuals using the Internet (% of population),2017,23.8,Aggregates,Aggregates,,
