,country_id,country_value,indicator_name,year,value,region,incomeLevel,longitude,latitude
0,ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2025,347371312400.777,Aggregates,Aggregates,,
1,ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2024,319674188232.428,Aggregates,Aggregates,,
2,ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2023,308463685063.397,Aggregates,Aggregates,,
3,ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2022,331550256662.314,Aggregates,Aggregates,,
4,ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2021,286371016984.617,Aggregates,Aggregates,,
5,ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2020,208274988470.384,Aggregates,Aggregates,,
6,ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2019,244123356176.254,Aggregates,Aggregates,,
7,ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2018,258933955173.15,Aggregates,Aggregates,,
8,ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2017,233010739617.521,Aggregates,Aggregates,,
9,ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2016,197213708107.097,Aggregates,Aggregates,,
10,ZI,Africa Western and Central,Exports of goods and services (current US$),2025,,Aggregates,Aggregates,,
11,ZI,Africa Western and Central,Exports of goods and services (current US$),2024,,Aggregates,Aggregates,,
12,ZI,Africa Western and Central,Exports of goods and services (current US$),2023,,Aggregates,Aggregates,,
13,ZI,Africa Western and Central,Exports of goods and services (current US$),2022,,Aggregates,Aggregates,,
14,ZI,Africa Western and Central,Exports of goods and services (current US$),2021,,Aggregates,Aggregates,,
15,ZI,Africa Western and Central,Exports of goods and services (current US$),2020,,Aggregates,Aggregates,,
16,ZI,Africa Western and Central,Exports of goods and services (current US$),2019,,Aggregates,Aggregates,,
17,ZI,Africa Western and Central,Exports of goods and services (current US$),2018,,Aggregates,Aggregates,,
18,ZI,Africa Western and Central,Exports of goods and services (current US$),2017,,Aggregates,Aggregates,,
19,ZI,Africa Western and Central,Exports of goods and services (current US$),2016,,Aggregates,Aggregates,,
20,1A,Arab World,Exports of goods and services (current US$),2025,,Aggregates,Aggregates,,
21,1A,Arab World,Exports of goods and services (current US$),2024,,Aggregates,Aggregates,,
22,1A,Arab World,Exports of goods and services (current US$),2023,1694145367306.17,Aggregates,Aggregates,,
23,1A,Arab World,Exports of goods and services (current US$),2022,1788243825591.22,Aggregates,Aggregates,,
24,1A,Arab World,Exports of goods and services (current US$),2021,1278077127514.27,Aggregates,Aggregates,,
25,1A,Arab World,Exports of goods and services (current US$),2020,929568573752.049,Aggregates,Aggregates,,
26,1A,Arab World,Exports of goods and services (current US$),2019,1245142173332.7,Aggregates,Aggregates,,
27,1A,Arab World,Exports of goods and services (current US$),2018,1293680754339.0,Aggregates,Aggregates,,
28,1A,Arab World,Exports of goods and services (current US$),2017,1086646434836.1,Aggregates,Aggregates,,
29,1A,Arab World,Exports of goods and services (current US$),2016,948507106263.179,Aggregates,Aggregates,,
30,S3,Caribbean small states,Exports of goods and services (current US$),2025,,Aggregates,Aggregates,,
31,S3,Caribbean small states,Exports of goods and services (current US$),2024,,Aggregates,Aggregates,,
32,S3,Caribbean small states,Exports of goods and services (current US$),2023,,Aggregates,Aggregates,,
33,S3,Caribbean small states,Exports of goods and services (current US$),2022,,Aggregates,Aggregates,,
34,S3,Caribbean small states,Exports of goods and services (current US$),2021,,Aggregates,Aggregates,,
35,S3,Caribbean small states,Exports of goods and services (current US$),2020,,Aggregates,Aggregates,,
36,S3,Caribbean small states,Exports of goods and services (current US$),2019,,Aggregates,Aggregates,,
37,S3,Caribbean small states,Exports of goods and services (current US$),2018,,Aggregates,Aggregates,,
38,S3,Caribbean small states,Exports of goods and services (current US$),2017,,Aggregates,Aggregates,,
39,S3,Caribbean small states,Exports of goods and services (current US$),2016,,Aggregates,Aggregates,,
40,B8,Central Europe and the Baltics,Exports of goods and services (current US$),2025,1557798203708.72,Aggregates,Aggregates,,
41,B8,Central Europe and the Baltics,Exports of goods and services (current US$),2024,1438334518388.46,Aggregates,Aggregates,,
42,B8,Central Europe and the Baltics,Exports of goods and services (current US$),2023,1426026919121.61,Aggregates,Aggregates,,
43,B8,Central Europe and the Baltics,Exports of goods and services (current US$),2022,1341186295975.17,Aggregates,Aggregates,,
44,B8,Central Europe and the Baltics,Exports of goods and services (current US$),2021,1215866380973.72,Aggregates,Aggregates,,
45,B8,Central Europe and the Baltics,Exports of goods and services (current US$),2020,984788674735.239,Aggregates,Aggregates,,
46,B8,Central Europe and the Baltics,Exports of goods and services (current US$),2019,1040654835917.88,Aggregates,Aggregates,,
47,B8,Central Europe and the Baltics,Exports of goods and services (current US$),2018,1042008116805.89,Aggregates,Aggregates,,
48,B8,Central Europe and the Baltics,Exports of goods and services (current US$),2017,929211390030.223,Aggregates,Aggregates,,
49,B8,Central Europe and the Baltics,Exports of goods and services (current US$),2016,822184666105.749,Aggregates,Aggregates,,
50,V2,Early-demographic dividend,Exports of goods and services (current US$),2025,4215516070802.53,Aggregates,Aggregates,,
51,V2,Early-demographic dividend,Exports of goods and services (current US$),2024,3986378336776.57,Aggregates,Aggregates,,
52,V2,Early-demographic dividend,Exports of goods and services (current US$),2023,3863572956731.26,Aggregates,Aggregates,,
53,V2,Early-demographic dividend,Exports of goods and services (current US$),2022,3981592322814.38,Aggregates,Aggregates,,
54,V2,Early-demographic dividend,Exports of goods and services (current US$),2021,3248375413124.99,Aggregates,Aggregates,,
55,V2,Early-demographic dividend,Exports of goods and services (current US$),2020,2421338261308.34,Aggregates,Aggregates,,
56,V2,Early-demographic dividend,Exports of goods and services (current US$),2019,2908197796671.28,Aggregates,Aggregates,,
57,V2,Early-demographic dividend,Exports of goods and services (current US$),2018,2982323217848.88,Aggregates,Aggregates,,
58,V2,Early-demographic dividend,Exports of goods and services (current US$),2017,2685778820368.91,Aggregates,Aggregates,,
59,V2,Early-demographic dividend,Exports of goods and services (current US$),2016,2378138886335.24,Aggregates,Aggregates,,
60,Z4,East Asia & Pacific,Exports of goods and services (current US$),2025,10950945357715.1,Aggregates,Aggregates,,
61,Z4,East Asia & Pacific,Exports of goods and services (current US$),2024,10021440747669.2,Aggregates,Aggregates,,
62,Z4,East Asia & Pacific,Exports of goods and services (current US$),2023,9376420895993.1,Aggregates,Aggregates,,
63,Z4,East Asia & Pacific,Exports of goods and services (current US$),2022,9690747062040.52,Aggregates,Aggregates,,
64,Z4,East Asia & Pacific,Exports of goods and services (current US$),2021,9035020633831.03,Aggregates,Aggregates,,
65,Z4,East Asia & Pacific,Exports of goods and services (current US$),2020,7240519396604.81,Aggregates,Aggregates,,
66,Z4,East Asia & Pacific,Exports of goods and services (current US$),2019,7557126900021.46,Aggregates,Aggregates,,
67,Z4,East Asia & Pacific,Exports of goods and services (current US$),2018,7707550916603.27,Aggregates,Aggregates,,
68,Z4,East Asia & Pacific,Exports of goods and services (current US$),2017,7096062820221.19,Aggregates,Aggregates,,
69,Z4,East Asia & Pacific,Exports of goods and services (current US$),2016,6413533781588.69,Aggregates,Aggregates,,
70,4E,East Asia & Pacific (excluding high income),Exports of goods and services (current US$),2025,5933158784747.68,Aggregates,Aggregates,,
71,4E,East Asia & Pacific (excluding high income),Exports of goods and services (current US$),2024,5464702789542.71,Aggregates,Aggregates,,
72,4E,East Asia & Pacific (excluding high income),Exports of goods and services (current US$),2023,5046365120857.53,Aggregates,Aggregates,,
73,4E,East Asia & Pacific (excluding high income),Exports of goods and services (current US$),2022,5261215049052.5,Aggregates,Aggregates,,
74,4E,East Asia & Pacific (excluding high income),Exports of goods and services (current US$),2021,4882796762398.59,Aggregates,Aggregates,,
75,4E,East Asia & Pacific (excluding high income),Exports of goods and services (current US$),2020,3839515420531.83,Aggregates,Aggregates,,
76,4E,East Asia & Pacific (excluding high income),Exports of goods and services (current US$),2019,3873025271427.03,Aggregates,Aggregates,,
77,4E,East Asia & Pacific (excluding high income),Exports of goods and services (current US$),2018,3882654906002.09,Aggregates,Aggregates,,
78,4E,East Asia & Pacific (excluding high income),Exports of goods and services (current US$),2017,3544640440271.85,Aggregates,Aggregates,,
79,4E,East Asia & Pacific (excluding high income),Exports of goods and services (current US$),2016,3186230899742.27,Aggregates,Aggregates,,
80,T4,East Asia & Pacific (IDA & IBRD countries),Exports of goods and services (current US$),2025,5925439615083.3,Aggregates,Aggregates,,
81,T4,East Asia & Pacific (IDA & IBRD countries),Exports of goods and services (current US$),2024,5457582669696.12,Aggregates,Aggregates,,
82,T4,East Asia & Pacific (IDA & IBRD countries),Exports of goods and services (current US$),2023,5039747852810.55,Aggregates,Aggregates,,
83,T4,East Asia & Pacific (IDA & IBRD countries),Exports of goods and services (current US$),2022,5254292021876.32,Aggregates,Aggregates,,
84,T4,East Asia & Pacific (IDA & IBRD countries),Exports of goods and services (current US$),2021,4876329369734.17,Aggregates,Aggregates,,
85,T4,East Asia & Pacific (IDA & IBRD countries),Exports of goods and services (current US$),2020,3834490398714.41,Aggregates,Aggregates,,
86,T4,East Asia & Pacific (IDA & IBRD countries),Exports of goods and services (current US$),2019,3868024844014.43,Aggregates,Aggregates,,
87,T4,East Asia & Pacific (IDA & IBRD countries),Exports of goods and services (current US$),2018,3877652994502.9,Aggregates,Aggregates,,
88,T4,East Asia & Pacific (IDA & IBRD countries),Exports of goods and services (current US$),2017,3540094081895.99,Aggregates,Aggregates,,
89,T4,East Asia & Pacific (IDA & IBRD countries),Exports of goods and services (current US$),2016,3182183469358.77,Aggregates,Aggregates,,
90,XC,Euro area,Exports of goods and services (current US$),2025,8747504036242.87,Aggregates,Aggregates,,
91,XC,Euro area,Exports of goods and services (current US$),2024,8167271217710.07,Aggregates,Aggregates,,
92,XC,Euro area,Exports of goods and services (current US$),2023,8041468643577.99,Aggregates,Aggregates,,
93,XC,Euro area,Exports of goods and services (current US$),2022,7878772641197.74,Aggregates,Aggregates,,
94,XC,Euro area,Exports of goods and services (current US$),2021,7297801379483.43,Aggregates,Aggregates,,
95,XC,Euro area,Exports of goods and services (current US$),2020,5966584503860.19,Aggregates,Aggregates,,
96,XC,Euro area,Exports of goods and services (current US$),2019,6487300417645.26,Aggregates,Aggregates,,
97,XC,Euro area,Exports of goods and services (current US$),2018,6578433094225.94,Aggregates,Aggregates,,
98,XC,Euro area,Exports of goods and services (current US$),2017,5988047452658.1,Aggregates,Aggregates,,
99,XC,Euro area,Exports of goods and services (current US$),2016,5452718215487.71,Aggregates,Aggregates,,
100,Z7,Europe & Central Asia,Exports of goods and services (current US$),2025,14105638087316.6,Aggregates,Aggregates,,
101,Z7,Europe & Central Asia,Exports of goods and services (current US$),2024,13154498902550.3,Aggregates,Aggregates,,
102,Z7,Europe & Central Asia,Exports of goods and services (current US$),2023,12856898085901.9,Aggregates,Aggregates,,
103,Z7,Europe & Central Asia,Exports of goods and services (current US$),2022,12855533778579.1,Aggregates,Aggregates,,
104,Z7,Europe & Central Asia,Exports of goods and services (current US$),2021,11617426769139.6,Aggregates,Aggregates,,
105,Z7,Europe & Central Asia,Exports of goods and services (current US$),2020,9362651222104.18,Aggregates,Aggregates,,
106,Z7,Europe & Central Asia,Exports of goods and services (current US$),2019,10277599155582.4,Aggregates,Aggregates,,
107,Z7,Europe & Central Asia,Exports of goods and services (current US$),2018,10412405062003.9,Aggregates,Aggregates,,
108,Z7,Europe & Central Asia,Exports of goods and services (current US$),2017,9407008979942.48,Aggregates,Aggregates,,
109,Z7,Europe & Central Asia,Exports of goods and services (current US$),2016,8558388712409.88,Aggregates,Aggregates,,
110,7E,Europe & Central Asia (excluding high income),Exports of goods and services (current US$),2025,817100367027.836,Aggregates,Aggregates,,
111,7E,Europe & Central Asia (excluding high income),Exports of goods and services (current US$),2024,781334239135.559,Aggregates,Aggregates,,
112,7E,Europe & Central Asia (excluding high income),Exports of goods and services (current US$),2023,751133928317.819,Aggregates,Aggregates,,
113,7E,Europe & Central Asia (excluding high income),Exports of goods and services (current US$),2022,741610011650.466,Aggregates,Aggregates,,
114,7E,Europe & Central Asia (excluding high income),Exports of goods and services (current US$),2021,626681490209.651,Aggregates,Aggregates,,
115,7E,Europe & Central Asia (excluding high income),Exports of goods and services (current US$),2020,458756762480.894,Aggregates,Aggregates,,
116,7E,Europe & Central Asia (excluding high income),Exports of goods and services (current US$),2019,551243122705.044,Aggregates,Aggregates,,
117,7E,Europe & Central Asia (excluding high income),Exports of goods and services (current US$),2018,538599338614.224,Aggregates,Aggregates,,
118,7E,Europe & Central Asia (excluding high income),Exports of goods and services (current US$),2017,476013971379.994,Aggregates,Aggregates,,
119,7E,Europe & Central Asia (excluding high income),Exports of goods and services (current US$),2016,414549208446.019,Aggregates,Aggregates,,
120,T7,Europe & Central Asia (IDA & IBRD countries),Exports of goods and services (current US$),2025,2069129618677.17,Aggregates,Aggregates,,
121,T7,Europe & Central Asia (IDA & IBRD countries),Exports of goods and services (current US$),2024,1984826367766.21,Aggregates,Aggregates,,
122,T7,Europe & Central Asia (IDA & IBRD countries),Exports of goods and services (current US$),2023,1932185782912.42,Aggregates,Aggregates,,
123,T7,Europe & Central Asia (IDA & IBRD countries),Exports of goods and services (current US$),2022,2044792143541.05,Aggregates,Aggregates,,
124,T7,Europe & Central Asia (IDA & IBRD countries),Exports of goods and services (current US$),2021,1771120919959.84,Aggregates,Aggregates,,
125,T7,Europe & Central Asia (IDA & IBRD countries),Exports of goods and services (current US$),2020,1313920766209.32,Aggregates,Aggregates,,
126,T7,Europe & Central Asia (IDA & IBRD countries),Exports of goods and services (current US$),2019,1525702645620.25,Aggregates,Aggregates,,
127,T7,Europe & Central Asia (IDA & IBRD countries),Exports of goods and services (current US$),2018,1534417252841.52,Aggregates,Aggregates,,
128,T7,Europe & Central Asia (IDA & IBRD countries),Exports of goods and services (current US$),2017,1315942714992.76,Aggregates,Aggregates,,
129,T7,Europe & Central Asia (IDA & IBRD countries),Exports of goods and services (current US$),2016,1118423327915.65,Aggregates,Aggregates,,
130,EU,European Union,Exports of goods and services (current US$),2025,10538060548522.1,Aggregates,Aggregates,,
131,EU,European Union,Exports of goods and services (current US$),2024,9822201178200.51,Aggregates,Aggregates,,
132,EU,European Union,Exports of goods and services (current US$),2023,9657673463872.34,Aggregates,Aggregates,,
133,EU,European Union,Exports of goods and services (current US$),2022,9413958690932.8,Aggregates,Aggregates,,
134,EU,European Union,Exports of goods and services (current US$),2021,8698129221545.22,Aggregates,Aggregates,,
135,EU,European Union,Exports of goods and services (current US$),2020,7107616031188.83,Aggregates,Aggregates,,
136,EU,European Union,Exports of goods and services (current US$),2019,7684157673460.92,Aggregates,Aggregates,,
137,EU,European Union,Exports of goods and services (current US$),2018,7769972703793.73,Aggregates,Aggregates,,
138,EU,European Union,Exports of goods and services (current US$),2017,7063726189936.99,Aggregates,Aggregates,,
139,EU,European Union,Exports of goods and services (current US$),2016,6421421883139.11,Aggregates,Aggregates,,
140,XE,Heavily indebted poor countries (HIPC),Exports of goods and services (current US$),2025,310691060959.352,Aggregates,Aggregates,,
141,XE,Heavily indebted poor countries (HIPC),Exports of goods and services (current US$),2024,259840446597.413,Aggregates,Aggregates,,
142,XE,Heavily indebted poor countries (HIPC),Exports of goods and services (current US$),2023,239192229365.911,Aggregates,Aggregates,,
143,XE,Heavily indebted poor countries (HIPC),Exports of goods and services (current US$),2022,239658596550.731,Aggregates,Aggregates,,
144,XE,Heavily indebted poor countries (HIPC),Exports of goods and services (current US$),2021,210472086809.418,Aggregates,Aggregates,,
145,XE,Heavily indebted poor countries (HIPC),Exports of goods and services (current US$),2020,166761981608.988,Aggregates,Aggregates,,
146,XE,Heavily indebted poor countries (HIPC),Exports of goods and services (current US$),2019,184981062812.827,Aggregates,Aggregates,,
147,XE,Heavily indebted poor countries (HIPC),Exports of goods and services (current US$),2018,183469415862.925,Aggregates,Aggregates,,
148,XE,Heavily indebted poor countries (HIPC),Exports of goods and services (current US$),2017,163302984129.295,Aggregates,Aggregates,,
149,XE,Heavily indebted poor countries (HIPC),Exports of goods and services (current US$),2016,144938492472.529,Aggregates,Aggregates,,
150,XD,High income,Exports of goods and services (current US$),2025,24406365006080.1,Aggregates,Aggregates,,
151,XD,High income,Exports of goods and services (current US$),2024,22701262386811.6,Aggregates,Aggregates,,
152,XD,High income,Exports of goods and services (current US$),2023,22026521366016.1,Aggregates,Aggregates,,
153,XD,High income,Exports of goods and services (current US$),2022,22166935443435.6,Aggregates,Aggregates,,
154,XD,High income,Exports of goods and services (current US$),2021,19750785573877.9,Aggregates,Aggregates,,
155,XD,High income,Exports of goods and services (current US$),2020,16027924850378.5,Aggregates,Aggregates,,
156,XD,High income,Exports of goods and services (current US$),2019,17823663192108.4,Aggregates,Aggregates,,
157,XD,High income,Exports of goods and services (current US$),2018,18145500841199.0,Aggregates,Aggregates,,
158,XD,High income,Exports of goods and services (current US$),2017,16587312920961.9,Aggregates,Aggregates,,
159,XD,High income,Exports of goods and services (current US$),2016,15168016295489.9,Aggregates,Aggregates,,
160,XF,IBRD only,Exports of goods and services (current US$),2025,11252591347336.9,Aggregates,Aggregates,,
161,XF,IBRD only,Exports of goods and services (current US$),2024,10541343458928.9,Aggregates,Aggregates,,
162,XF,IBRD only,Exports of goods and services (current US$),2023,9961488165593.61,Aggregates,Aggregates,,
163,XF,IBRD only,Exports of goods and services (current US$),2022,10331539293036.7,Aggregates,Aggregates,,
164,XF,IBRD only,Exports of goods and services (current US$),2021,9163846676204.03,Aggregates,Aggregates,,
165,XF,IBRD only,Exports of goods and services (current US$),2020,7025840790050.23,Aggregates,Aggregates,,
166,XF,IBRD only,Exports of goods and services (current US$),2019,7630659794472.56,Aggregates,Aggregates,,
167,XF,IBRD only,Exports of goods and services (current US$),2018,7743120710922.68,Aggregates,Aggregates,,
168,XF,IBRD only,Exports of goods and services (current US$),2017,6954964005439.42,Aggregates,Aggregates,,
169,XF,IBRD only,Exports of goods and services (current US$),2016,6155405863660.46,Aggregates,Aggregates,,
170,ZT,IDA & IBRD total,Exports of goods and services (current US$),2025,11958471133569.1,Aggregates,Aggregates,,
171,ZT,IDA & IBRD total,Exports of goods and services (current US$),2024,11175920722090.8,Aggregates,Aggregates,,
